code_reg,lib_reg,date,count
,Normandie,12/03/2020,68
,Bretagne,12/03/2020,117
,Pays de la Loire,12/03/2020,41
,Centre-Val de Loire,12/03/2020,30
,Bourgogne-Franche-Comté,12/03/2020,219
,Nouvelle-Aquitaine,12/03/2020,87
,Auvergne-Rhône-Alpes,12/03/2020,329
,Corse,12/03/2020,64
,Provence-Alpes-Côte d’Azur,12/03/2020,147
,Occitanie,12/03/2020,133
,Guadeloupe,12/03/2020,0
,Martinique,12/03/2020,4
,Guyane,12/03/2020,6
,La Réunion,12/03/2020,3
,Mayotte,12/03/2020,0
,Hauts-de-France,13/03/2020,397
,Grand Est,13/03/2020,911
,Ile-de-France,13/03/2020,721
,Normandie,13/03/2020,97
,Bretagne,13/03/2020,155
,Pays de la Loire,13/03/2020,55
,Centre-Val de Loire,13/03/2020,33
,Bourgogne-Franche-Comté,13/03/2020,272
,Nouvelle-Aquitaine,13/03/2020,114
,Auvergne-Rhône-Alpes,13/03/2020,416
,Corse,13/03/2020,85
,Provence-Alpes-Côte d’Azur,13/03/2020,212
,Occitanie,13/03/2020,172
,Guadeloupe,13/03/2020,1
,Martinique,13/03/2020,6
,Guyane,13/03/2020,6
,La Réunion,13/03/2020,5
,Mayotte,13/03/2020,0
,Hauts-de-France,14/03/2020,466
,Grand Est,14/03/2020,1085
,Ile-de-France,14/03/2020,949
,Normandie,14/03/2020,127
,Bretagne,14/03/2020,182
,Pays de la Loire,14/03/2020,82
,Centre-Val de Loire,14/03/2020,54
,Bourgogne-Franche-Comté,14/03/2020,339
,Nouvelle-Aquitaine,14/03/2020,130
,Auvergne-Rhône-Alpes,14/03/2020,454
,Corse,14/03/2020,106
,Provence-Alpes-Côte d’Azur,14/03/2020,281
,Occitanie,14/03/2020,214
,Guadeloupe,14/03/2020,3
,Martinique,14/03/2020,10
,Guyane,14/03/2020,7
,La Réunion,14/03/2020,6
,Mayotte,14/03/2020,1
,Hauts-de-France,15/03/2020,507
,Grand Est,15/03/2020,1378
,Ile-de-France,15/03/2020,1209
,Normandie,15/03/2020,143
,Bretagne,15/03/2020,207
,Pays de la Loire,15/03/2020,98
,Centre-Val de Loire,15/03/2020,71
,Bourgogne-Franche-Comté,15/03/2020,412
,Nouvelle-Aquitaine,15/03/2020,144
,Auvergne-Rhône-Alpes,15/03/2020,523
,Corse,15/03/2020,115
,Provence-Alpes-Côte d’Azur,15/03/2020,330
,Occitanie,15/03/2020,243
,Guadeloupe,15/03/2020,6
,Martinique,15/03/2020,15
,Guyane,15/03/2020,7
,La Réunion,15/03/2020,9
,Mayotte,15/03/2020,1
,Hauts-de-France,16/03/2020,585
,Grand Est,16/03/2020,1543
,Ile-de-France,16/03/2020,1762
,Normandie,16/03/2020,156
,Bretagne,16/03/2020,233
,Pays de la Loire,16/03/2020,108
,Centre-Val de Loire,16/03/2020,90
,Bourgogne-Franche-Comté,16/03/2020,507
,Nouvelle-Aquitaine,16/03/2020,178
,Auvergne-Rhône-Alpes,16/03/2020,618
,Corse,16/03/2020,126
,Provence-Alpes-Côte d’Azur,16/03/2020,405
,Occitanie,16/03/2020,262
,Guadeloupe,16/03/2020,18
,Martinique,16/03/2020,16
,Guyane,16/03/2020,11
,La Réunion,16/03/2020,9
,Mayotte,16/03/2020,1
